Frame,TopLeftCornerX,TopLeftCornerY,Length,Height
85,552.5,146.5,27,26
85,587.5,144.5,35,30
85,628.5,144.5,35,29
86,410.5,51.5,37,37
86,430.5,85.5,56,43
86,460.5,75.5,33,21
86,499.5,88.5,24,23
86,642.5,155.5,21,22
88,52.5,370.5,378,110
89,0.5,82.5,265,257
89,209.5,139.5,73,40
89,281.5,154.5,69,31
89,365.5,169.5,56,33
89,440.5,180.5,179,97
89,619.5,220.5,40,46
89,676.5,292.5,43,29
90,25.5,419.5,35,22
90,220.5,294.5,47,29
90,432.5,232.5,123,114
91,403.5,128.5,26,21
92,505.5,0.5,215,217
93,0.5,8.5,38,46
93,0.5,55.5,23,46
93,1.5,53.5,124,62
93,121.5,44.5,144,65
93,202.5,3.5,66,23
93,321.5,0.5,63,27
95,0.5,155.5,32,61
95,91.5,60.5,42,23
95,680.5,93.5,40,66
96,180.5,4.5,34,28
98,97.5,103.5,43,29
100,166.5,25.5,37,37
101,552.5,162.5,32,30
102,19.5,413.5,31,30
103,0.5,96.5,67,70
105,192.5,151.5,82,72
105,248.5,118.5,43,29
107,166.5,19.5,75,56
107,421.5,96.5,54,31
107,474.5,117.5,36,24
109,12.5,327.5,68,59
109,73.5,264.5,44,25
109,120.5,249.5,87,74
109,153.5,222.5,61,32
110,28.5,278.5,62,58
110,341.5,178.5,32,21
111,68.5,80.5,56,42
111,347.5,27.5,29,21
111,466.5,10.5,26,21
111,601.5,2.5,25,25
116,0.5,54.5,34,36
117,59.5,239.5,23,25
118,0.5,373.5,54,28
118,64.5,299.5,300,181
118,656.5,234.5,64,246
119,71.5,160.5,52,32
119,149.5,254.5,43,21
119,178.5,129.5,148,117
119,350.5,153.5,56,52
119,403.5,181.5,57,43
119,504.5,226.5,71,68
119,562.5,310.5,112,79
119,671.5,332.5,47,46
122,0.5,206.5,27,93
122,449.5,92.5,270,155
122,520.5,5.5,108,85
122,646.5,52.5,41,35
123,39.5,91.5,40,34
123,157.5,169.5,96,37
123,254.5,141.5,91,75
123,351.5,161.5,136,125
123,672.5,257.5,48,77
124,31.5,121.5,24,25
124,149.5,96.5,102,56
124,248.5,103.5,48,37
124,427.5,112.5,57,26
124,484.5,132.5,67,32
126,484.5,110.5,62,62
127,109.5,56.5,96,100
127,234.5,182.5,486,298
127,327.5,153.5,174,76
127,663.5,78.5,39,27
128,4.5,115.5,135,103
128,119.5,103.5,59,57
128,253.5,61.5,84,67
128,403.5,60.5,43,26
130,17.5,389.5,160,91
130,252.5,246.5,62,34
130,263.5,306.5,172,116
130,493.5,408.5,116,31
131,356.5,277.5,35,28
131,474.5,286.5,33,24
132,286.5,70.5,41,21
132,293.5,23.5,49,53
132,342.5,68.5,72,76
132,568.5,137.5,30,31
132,578.5,192.5,31,35
133,554.5,256.5,37,36
134,154.5,326.5,71,40
134,205.5,304.5,39,24
135,575.5,207.5,36,24
136,311.5,202.5,35,34
136,558.5,311.5,26,24
136,580.5,358.5,57,40
136,672.5,347.5,25,28
138,0.5,292.5,85,104
138,52.5,168.5,208,169
138,123.5,156.5,87,55
138,249.5,51.5,72,69
139,0.5,405.5,62,54
139,112.5,266.5,33,21
139,224.5,235.5,66,48
139,253.5,332.5,97,79
139,450.5,345.5,88,42
140,219.5,192.5,38,24
140,443.5,252.5,66,61
141,127.5,107.5,104,87
141,318.5,0.5,60,52
141,556.5,34.5,86,32
141,689.5,41.5,31,27
142,546.5,152.5,68,26
143,579.5,229.5,134,50
144,377.5,155.5,101,53
144,463.5,88.5,125,134
144,557.5,191.5,50,49
144,589.5,208.5,50,55
147,453.5,4.5,203,134
149,0.5,133.5,26,28
149,136.5,192.5,125,50
149,216.5,146.5,32,21
149,581.5,208.5,49,43
149,678.5,227.5,42,56
152,5.5,212.5,51,23
152,310.5,86.5,50,28
152,427.5,66.5,39,34
152,693.5,126.5,27,22
153,12.5,53.5,33,21
153,531.5,86.5,31,33
153,566.5,94.5,28,31
154,10.5,132.5,36,31
155,35.5,127.5,118,73
155,133.5,0.5,223,136
156,255.5,0.5,199,32
156,455.5,0.5,227,89
157,229.5,0.5,45,23
157,352.5,393.5,299,87
158,392.5,50.5,55,41
158,587.5,88.5,85,36
160,70.5,23.5,44,45
160,250.5,37.5,55,41
160,345.5,47.5,24,21
160,445.5,83.5,103,30
160,605.5,97.5,50,57
160,672.5,132.5,48,48
161,22.5,122.5,165,63
161,68.5,0.5,141,94
162,609.5,29.5,34,25
162,641.5,74.5,79,43
163,61.5,141.5,23,22
163,163.5,131.5,56,30
163,223.5,139.5,29,30
163,358.5,153.5,48,29
164,633.5,273.5,87,31
165,24.5,376.5,88,35
165,318.5,239.5,134,84
167,311.5,182.5,40,36
168,153.5,257.5,40,37
168,219.5,250.5,31,36
168,352.5,250.5,43,22
168,370.5,231.5,33,26
168,503.5,218.5,40,33
170,534.5,282.5,100,51
171,546.5,186.5,129,71
171,659.5,182.5,61,68
174,186.5,75.5,36,24
174,292.5,56.5,49,54
174,363.5,82.5,22,21
174,392.5,190.5,58,33
174,447.5,191.5,162,74
174,482.5,106.5,50,33
174,570.5,111.5,65,52
174,641.5,136.5,27,28
174,666.5,151.5,37,27
178,610.5,0.5,60,21
179,122.5,218.5,24,29
179,170.5,196.5,39,25
179,385.5,108.5,26,24
179,536.5,76.5,33,25
179,591.5,53.5,35,27
182,232.5,213.5,185,67
182,654.5,186.5,34,21
182,686.5,162.5,34,64
183,463.5,98.5,25,22
183,556.5,72.5,38,31
184,278.5,254.5,96,42
185,397.5,154.5,86,96
185,583.5,391.5,65,53
185,606.5,263.5,70,24
185,639.5,393.5,81,87
186,479.5,36.5,27,21
186,688.5,8.5,32,32
187,145.5,193.5,91,26
188,354.5,187.5,109,67
190,9.5,0.5,59,123
190,57.5,194.5,71,64
190,194.5,245.5,50,41
190,228.5,211.5,89,115
191,353.5,188.5,74,48
192,8.5,242.5,62,30
192,227.5,72.5,63,35
192,304.5,74.5,31,23
195,290.5,163.5,61,22
195,390.5,206.5,86,40
196,596.5,202.5,31,24
198,489.5,154.5,32,27
200,57.5,63.5,63,65
200,152.5,37.5,53,47
200,420.5,60.5,77,25
200,565.5,58.5,25,29
200,611.5,119.5,69,24
202,267.5,86.5,43,25
204,454.5,184.5,33,24
204,591.5,285.5,34,31
205,115.5,81.5,36,34
205,233.5,61.5,122,72
205,656.5,86.5,64,117
205,662.5,0.5,58,66
206,225.5,5.5,44,30
206,552.5,35.5,36,33
207,672.5,130.5,48,35
208,0.5,209.5,247,133
208,8.5,112.5,61,43
208,50.5,148.5,68,35
208,118.5,148.5,44,32
208,126.5,355.5,148,61
208,244.5,255.5,84,50
208,247.5,196.5,71,31
212,507.5,72.5,30,29
213,172.5,222.5,64,32
213,177.5,251.5,58,35
213,238.5,218.5,45,25
213,457.5,274.5,70,52
213,593.5,289.5,48,29
214,94.5,124.5,31,36
214,96.5,132.5,103,77
214,331.5,113.5,43,21
214,531.5,93.5,73,22
215,331.5,240.5,181,219
215,641.5,78.5,56,22
216,0.5,88.5,53,36
217,235.5,115.5,91,42
217,403.5,196.5,56,41
218,322.5,173.5,43,45
218,482.5,193.5,42,50
218,628.5,237.5,37,22
220,19.5,49.5,37,21
220,63.5,106.5,70,21
220,166.5,90.5,64,45
220,277.5,120.5,36,39
220,400.5,183.5,29,21
221,580.5,156.5,26,23
223,259.5,247.5,87,64
224,395.5,109.5,112,48
225,8.5,279.5,538,201
225,679.5,57.5,37,24
226,0.5,3.5,51,33
227,141.5,142.5,67,33
227,535.5,195.5,122,39
228,13.5,87.5,29,23
228,29.5,49.5,40,34
228,85.5,41.5,33,23
230,0.5,187.5,139,44
230,39.5,123.5,40,24
230,105.5,228.5,86,51
232,53.5,3.5,64,56
232,262.5,55.5,24,24
232,408.5,101.5,38,33
232,444.5,108.5,73,59
232,537.5,155.5,86,59
232,665.5,234.5,25,25
232,688.5,263.5,32,24
233,78.5,391.5,46,26
233,123.5,424.5,75,28
233,200.5,350.5,80,56
233,256.5,395.5,85,44
233,372.5,323.5,49,26
233,386.5,146.5,334,334
240,36.5,265.5,44,31
240,234.5,134.5,35,26
240,275.5,114.5,25,29
242,48.5,291.5,78,28
243,0.5,325.5,70,155
243,46.5,92.5,96,50
243,55.5,198.5,84,29
243,83.5,96.5,269,226
243,165.5,110.5,62,40
243,213.5,81.5,44,38
243,341.5,179.5,101,27
247,601.5,313.5,26,21
247,603.5,343.5,79,27
247,632.5,298.5,29,27
247,670.5,296.5,33,36
250,520.5,197.5,34,34
250,586.5,261.5,62,21
250,659.5,301.5,61,33
251,76.5,258.5,108,33
251,212.5,206.5,97,62
251,341.5,191.5,84,65
251,508.5,201.5,72,36
251,617.5,204.5,97,51
251,619.5,311.5,101,52
252,54.5,311.5,538,169
254,635.5,45.5,26,22
256,0.5,367.5,30,33
256,91.5,392.5,117,57
256,345.5,287.5,118,39
257,100.5,263.5,75,27
257,435.5,133.5,137,119
257,600.5,162.5,35,32
263,215.5,190.5,94,26
265,397.5,135.5,108,58
265,490.5,114.5,60,42
265,588.5,335.5,132,145
265,669.5,205.5,31,21
266,129.5,227.5,37,48
266,378.5,48.5,126,76
267,0.5,166.5,28,22
268,63.5,116.5,50,42
268,280.5,188.5,70,44
269,209.5,148.5,47,32
269,274.5,157.5,38,21
269,306.5,149.5,51,25
269,488.5,134.5,32,29
269,499.5,162.5,83,22
269,609.5,125.5,67,63
270,0.5,12.5,92,49
271,0.5,299.5,58,75
271,28.5,205.5,139,137
271,44.5,366.5,290,114
271,624.5,111.5,73,57
274,415.5,241.5,54,26
274,483.5,280.5,52,29
274,561.5,292.5,34,31
274,674.5,314.5,46,69
275,0.5,285.5,198,149
275,169.5,124.5,58,55
277,259.5,0.5,232,173
277,445.5,303.5,275,177
277,557.5,57.5,41,46
277,659.5,145.5,61,24
280,371.5,130.5,55,23
280,503.5,112.5,60,28
281,464.5,212.5,36,28
281,583.5,208.5,31,27
283,44.5,249.5,108,74
284,136.5,131.5,108,27
284,448.5,204.5,70,23
285,46.5,185.5,30,44
285,84.5,181.5,42,28
285,583.5,72.5,137,249
286,48.5,58.5,29,23
286,157.5,4.5,46,28
287,45.5,197.5,45,26
287,120.5,166.5,223,189
287,439.5,118.5,140,92
287,470.5,240.5,200,138
287,581.5,149.5,39,25
288,684.5,181.5,36,24
289,88.5,344.5,57,49
289,274.5,33.5,51,30
291,0.5,251.5,112,127
291,62.5,127.5,137,98
291,163.5,49.5,64,43
291,169.5,112.5,94,44
291,395.5,33.5,44,44
291,467.5,79.5,88,44
291,580.5,88.5,86,68
291,674.5,149.5,46,31
291,687.5,225.5,33,21
292,405.5,124.5,151,72
292,632.5,75.5,37,34
292,664.5,74.5,33,24
295,0.5,116.5,31,33
295,77.5,291.5,637,189
295,147.5,45.5,44,27
296,147.5,162.5,67,38
296,399.5,203.5,28,25
297,187.5,291.5,67,53
297,254.5,208.5,126,45
297,311.5,165.5,86,32
299,480.5,132.5,47,30
302,252.5,362.5,48,66
302,298.5,299.5,104,74
302,627.5,91.5,53,30
303,29.5,260.5,71,92
303,126.5,306.5,80,33
303,242.5,244.5,45,34
304,375.5,198.5,46,26
305,91.5,31.5,169,134
305,137.5,202.5,167,142
305,243.5,66.5,53,35
305,343.5,56.5,61,29
305,421.5,52.5,299,206
306,0.5,53.5,38,38
307,201.5,145.5,69,31
307,392.5,99.5,27,23
307,414.5,137.5,27,22
308,640.5,301.5,80,59
309,115.5,39.5,35,36
309,143.5,50.5,45,30
309,199.5,0.5,68,40
310,0.5,145.5,64,68
310,0.5,320.5,22,52
310,3.5,264.5,201,89
310,61.5,164.5,24,25
311,519.5,206.5,36,23
311,633.5,224.5,29,21
312,257.5,86.5,80,50
312,294.5,122.5,137,27
312,310.5,69.5,49,36
315,250.5,45.5,103,45
315,251.5,0.5,35,25
315,255.5,145.5,240,149
315,322.5,18.5,37,31
315,549.5,146.5,89,54
315,682.5,249.5,38,26
316,485.5,100.5,33,29
316,528.5,64.5,34,32
316,574.5,61.5,28,21
316,666.5,117.5,54,38
318,0.5,177.5,159,107
318,37.5,135.5,28,33
318,233.5,113.5,58,25
318,275.5,87.5,186,136
318,412.5,201.5,113,88
318,489.5,148.5,90,85
320,35.5,2.5,29,47
320,70.5,82.5,21,26
320,118.5,123.5,55,69
320,124.5,59.5,32,47
320,187.5,227.5,47,37
320,200.5,430.5,113,50
320,259.5,307.5,43,46
321,112.5,280.5,139,61
321,389.5,208.5,28,25
321,487.5,317.5,122,32
321,639.5,275.5,25,21
322,0.5,430.5,33,41
322,12.5,306.5,39,29
322,109.5,256.5,43,39
322,122.5,296.5,81,23
322,229.5,218.5,38,30
322,286.5,224.5,57,42
322,326.5,228.5,71,34
322,365.5,141.5,85,79
322,488.5,215.5,66,32
322,555.5,15.5,165,236
322,678.5,268.5,42,125
323,524.5,239.5,48,34
323,586.5,340.5,134,140
323,630.5,291.5,46,39
325,90.5,282.5,44,48
325,173.5,292.5,25,22
325,215.5,261.5,22,22
325,349.5,143.5,42,26
325,418.5,106.5,56,46
325,459.5,76.5,50,45
325,514.5,40.5,65,53
325,544.5,96.5,38,21
325,681.5,7.5,39,37
327,324.5,5.5,152,38
328,70.5,63.5,25,22
331,22.5,171.5,26,27
331,68.5,118.5,81,75
331,145.5,69.5,98,96
331,254.5,187.5,401,192
331,270.5,79.5,43,27
331,310.5,60.5,69,40
331,667.5,161.5,53,56
332,126.5,55.5,46,23
333,0.5,223.5,49,88
333,73.5,357.5,261,82
334,0.5,370.5,64,58
336,542.5,204.5,25,26
337,522.5,74.5,26,26
340,152.5,296.5,39,29
340,192.5,293.5,66,33
340,490.5,138.5,104,107
341,230.5,67.5,106,46
341,698.5,410.5,22,70
342,603.5,58.5,31,24
343,251.5,54.5,71,24
345,264.5,51.5,181,109
345,696.5,268.5,24,25
346,474.5,121.5,36,29
348,279.5,132.5,31,24
348,450.5,76.5,70,28
348,574.5,46.5,50,27
348,618.5,39.5,33,24
350,1.5,300.5,27,26
350,108.5,205.5,143,85
350,111.5,303.5,188,139
350,274.5,251.5,91,52
350,313.5,148.5,48,32
350,394.5,122.5,47,32
350,443.5,100.5,47,38
350,472.5,141.5,134,64
350,543.5,50.5,49,58
350,651.5,28.5,31,30
350,685.5,50.5,35,44
351,38.5,31.5,251,208
351,290.5,134.5,97,49
351,382.5,165.5,22,27
351,397.5,116.5,31,22
351,563.5,162.5,43,34
351,606.5,170.5,21,33
351,653.5,203.5,28,21
351,674.5,219.5,46,30
352,362.5,250.5,60,41
352,669.5,291.5,51,42
353,257.5,51.5,57,32
353,389.5,88.5,66,50
353,511.5,105.5,29,36
353,542.5,123.5,47,49
355,168.5,0.5,30,26
355,365.5,52.5,39,23
355,676.5,177.5,22,23
356,0.5,95.5,74,48
356,166.5,15.5,82,75
356,200.5,156.5,77,21
356,669.5,141.5,51,67
357,0.5,283.5,121,101
358,0.5,410.5,212,70
358,83.5,319.5,51,49
358,427.5,263.5,60,23
358,547.5,160.5,50,58
358,635.5,238.5,27,22
358,661.5,198.5,45,31
359,0.5,0.5,211,291
361,63.5,12.5,97,108
362,8.5,451.5,41,22
363,77.5,221.5,36,23
363,167.5,258.5,121,47
363,505.5,367.5,148,56
363,515.5,249.5,51,40
363,612.5,313.5,108,74
365,0.5,96.5,68,99
365,138.5,0.5,83,40
366,1.5,100.5,35,28
370,462.5,129.5,85,58
370,635.5,148.5,84,71
372,432.5,351.5,114,40
372,465.5,276.5,36,28
372,527.5,326.5,58,30
374,510.5,186.5,41,27
375,0.5,46.5,37,23
375,28.5,71.5,75,35
375,385.5,166.5,50,31
375,493.5,223.5,37,22
377,132.5,205.5,82,22
377,596.5,158.5,26,24
378,9.5,350.5,82,96
378,81.5,239.5,24,22
378,323.5,57.5,70,34
378,506.5,0.5,36,27
378,534.5,38.5,94,26
378,680.5,0.5,40,34
379,39.5,136.5,99,88
380,221.5,101.5,207,124
380,396.5,160.5,188,166
382,0.5,249.5,46,51
382,55.5,227.5,56,39
382,67.5,208.5,26,22
382,88.5,189.5,33,25
382,137.5,138.5,45,42
382,344.5,66.5,33,26
382,384.5,41.5,85,52
383,459.5,125.5,27,28
384,502.5,78.5,75,66
384,570.5,99.5,44,53
384,612.5,117.5,50,52
384,688.5,173.5,32,23
386,210.5,109.5,39,29
386,302.5,135.5,26,21
387,0.5,269.5,25,35
387,47.5,203.5,34,27
387,74.5,163.5,77,51
387,228.5,160.5,26,26
387,269.5,133.5,81,25
387,343.5,24.5,99,96
387,620.5,436.5,100,44
388,47.5,119.5,38,33
388,119.5,102.5,28,29
388,207.5,82.5,27,24
388,238.5,100.5,65,22
388,279.5,67.5,71,22
389,52.5,211.5,132,104
389,175.5,206.5,106,130
391,168.5,312.5,26,23
392,0.5,160.5,32,28
392,32.5,107.5,91,77
392,38.5,99.5,36,30
392,144.5,148.5,420,247
392,188.5,68.5,24,22
392,231.5,68.5,88,44
392,432.5,48.5,36,23
392,499.5,332.5,221,148
392,556.5,91.5,111,32
392,570.5,44.5,36,23
392,608.5,40.5,22,24
392,668.5,51.5,52,105
394,81.5,157.5,43,24
394,461.5,177.5,38,29
397,0.5,207.5,37,51
397,133.5,52.5,48,56
399,594.5,152.5,37,24
400,0.5,204.5,30,21
400,66.5,197.5,23,22
400,132.5,281.5,141,86
400,139.5,194.5,44,24
400,269.5,288.5,131,88
400,304.5,196.5,86,70
402,157.5,378.5,474,102
403,0.5,208.5,129,272
406,15.5,74.5,53,40
406,306.5,43.5,31,32
407,0.5,343.5,72,86
407,261.5,272.5,63,47
407,344.5,260.5,27,23
407,401.5,236.5,39,25
407,434.5,212.5,57,55
407,514.5,178.5,73,50
408,692.5,270.5,28,27
409,55.5,100.5,69,36
409,135.5,107.5,140,38
409,288.5,67.5,105,56
409,523.5,74.5,41,22
413,398.5,257.5,64,51
414,337.5,86.5,22,24
414,457.5,68.5,31,22
415,279.5,136.5,114,90
417,111.5,34.5,94,26
417,694.5,1.5,26,24
418,65.5,417.5,24,21
418,147.5,369.5,66,32
418,298.5,296.5,92,47
418,499.5,232.5,49,32
418,638.5,128.5,82,53
420,79.5,250.5,311,123
420,341.5,100.5,118,160
420,385.5,139.5,249,231
421,202.5,0.5,34,21
421,397.5,43.5,60,25
421,519.5,120.5,59,43
421,564.5,130.5,68,63
421,592.5,96.5,42,42
422,343.5,252.5,52,22
422,578.5,298.5,58,42
422,634.5,298.5,50,56
423,306.5,0.5,37,21
425,635.5,47.5,30,22
426,424.5,137.5,30,46
426,580.5,190.5,50,28
428,0.5,238.5,23,34
428,14.5,346.5,63,50
428,57.5,195.5,35,27
428,71.5,270.5,36,30
428,90.5,215.5,21,21
428,187.5,163.5,36,23
428,205.5,194.5,64,23
428,361.5,86.5,27,29
428,452.5,143.5,85,26
430,0.5,374.5,230,106
430,2.5,345.5,24,21
430,83.5,251.5,29,32
432,614.5,66.5,30,31
433,231.5,192.5,41,28
433,352.5,267.5,89,22
433,404.5,223.5,60,42
434,392.5,11.5,47,39
434,630.5,390.5,90,90
434,687.5,220.5,30,39
436,246.5,22.5,38,25
436,304.5,32.5,25,23
436,355.5,21.5,136,91
436,492.5,58.5,37,28
436,546.5,102.5,62,38
437,471.5,297.5,101,32
437,658.5,291.5,62,38
438,0.5,160.5,29,178
438,0.5,292.5,104,104
438,1.5,95.5,187,203
438,392.5,61.5,32,26
439,35.5,0.5,70,24
440,40.5,133.5,122,49
440,44.5,55.5,33,32
440,589.5,145.5,105,35
441,482.5,192.5,70,31
443,387.5,67.5,37,34
445,600.5,341.5,35,26
446,0.5,110.5,95,64
447,0.5,258.5,55,43
447,444.5,192.5,38,29
448,641.5,88.5,26,24
449,174.5,109.5,67,69
449,241.5,100.5,91,76
449,482.5,54.5,69,36
449,543.5,83.5,74,50
449,556.5,55.5,29,24
449,617.5,33.5,43,30
450,0.5,218.5,134,123
450,330.5,135.5,44,28
450,375.5,128.5,26,24
450,400.5,124.5,24,24
450,438.5,109.5,30,26
450,480.5,94.5,81,46
450,629.5,213.5,91,44
450,630.5,74.5,42,34
450,673.5,63.5,47,98
455,370.5,285.5,33,38
455,529.5,359.5,68,38
455,657.5,395.5,28,27
456,373.5,94.5,23,29
456,422.5,121.5,56,38
456,575.5,185.5,28,21
461,38.5,429.5,65,51
461,110.5,407.5,73,44
462,169.5,210.5,60,67
462,253.5,213.5,41,24
462,611.5,95.5,67,32
464,163.5,88.5,115,30
464,305.5,49.5,37,30
465,478.5,124.5,64,56
467,280.5,210.5,440,270
468,21.5,259.5,41,38
468,61.5,247.5,35,32
468,158.5,191.5,36,29
468,249.5,142.5,36,27
469,358.5,132.5,37,28
473,0.5,27.5,66,41
473,0.5,116.5,180,73
473,187.5,69.5,53,42
473,216.5,80.5,144,95
473,437.5,170.5,99,108
473,485.5,145.5,63,66
473,641.5,259.5,58,39
473,683.5,302.5,35,27
475,87.5,250.5,78,82
475,161.5,277.5,49,37
475,185.5,248.5,152,65
475,207.5,192.5,61,46
475,349.5,87.5,282,265
475,511.5,2.5,180,182
478,31.5,286.5,82,30
480,0.5,248.5,52,67
480,183.5,201.5,30,22
480,439.5,99.5,47,30
481,0.5,186.5,56,60
481,97.5,165.5,74,23
481,142.5,131.5,24,24
481,195.5,102.5,76,65
481,297.5,98.5,60,50
481,358.5,110.5,34,29
481,516.5,135.5,57,33
481,569.5,124.5,151,125
481,585.5,103.5,49,32
485,170.5,216.5,33,27
485,443.5,249.5,42,27
486,390.5,131.5,26,24
486,450.5,166.5,39,22
487,45.5,95.5,34,27
487,124.5,177.5,71,21
487,497.5,254.5,50,21
487,565.5,294.5,89,37
491,389.5,239.5,118,69
492,241.5,140.5,78,22
493,65.5,107.5,38,30
494,145.5,255.5,42,35
494,222.5,218.5,27,23
494,325.5,135.5,92,76
494,433.5,128.5,48,34
494,631.5,14.5,81,84
495,136.5,201.5,34,34
495,405.5,196.5,49,27
495,563.5,201.5,54,29
497,363.5,38.5,137,51
498,0.5,50.5,43,76
498,0.5,199.5,43,91
498,20.5,125.5,38,28
498,119.5,39.5,62,45
498,192.5,28.5,41,31
498,298.5,50.5,100,26
498,365.5,0.5,80,38
499,0.5,149.5,31,35
499,11.5,93.5,57,24
499,29.5,131.5,81,41
499,236.5,65.5,311,102
500,25.5,289.5,40,23
500,85.5,248.5,62,54
500,185.5,195.5,36,34
500,397.5,103.5,91,87
500,629.5,90.5,89,23
501,58.5,167.5,90,37
501,344.5,83.5,54,36
502,44.5,328.5,23,32
502,200.5,308.5,45,29
502,480.5,252.5,27,22
503,13.5,215.5,207,97
503,19.5,164.5,28,29
506,332.5,160.5,83,22
507,0.5,361.5,79,69
507,0.5,403.5,34,55
507,78.5,244.5,47,42
507,222.5,139.5,34,29
507,307.5,111.5,50,26
507,316.5,71.5,47,40
507,389.5,53.5,28,22
507,394.5,59.5,121,53
507,418.5,29.5,28,29
507,464.5,26.5,46,36
507,489.5,0.5,60,32
507,570.5,0.5,85,56
508,131.5,334.5,214,73
509,207.5,271.5,64,50
509,532.5,214.5,44,25
509,583.5,234.5,58,24
509,642.5,222.5,66,21
511,39.5,436.5,26,22
511,52.5,438.5,25,26
511,75.5,327.5,76,94
511,219.5,260.5,28,42
511,233.5,249.5,36,27
